WeekID	QuestionID	Type	CorrectAnswer	Tolerance	Points	Hint	Solution	Title	Choices	Grade
week-02	q1	text	(2,-5)|2,-5		1	Compare with $(x-a)^2+(y-b)^2=r^2$, whose centre is $(a,\,b)$. Note that $(y+5)$ means $b=-5$, not $+5$.	$(x-2)^2+(y+5)^2=49$ is $(x-2)^2+(y-(-5))^2=7^2$, so $a=2$ and $b=-5$. The centre is $(2,\,-5)$.	Write down the coordinates of the centre of the circle $(x-2)^2+(y+5)^2=49$. Give your answer in the form (a,b).		10
week-02	q2	numeric	7	0	1	In $(x-a)^2+(y-b)^2=r^2$ the right-hand side is $r^2$, not $r$ - take the square root.	$r^2=49$, so $r=\sqrt{49}=7$.	Find the radius of the circle $(x-2)^2+(y+5)^2=49$.		10
week-02	q3	mc	$2\sqrt{3}$		1	The radius is $\sqrt{12}$. Simplify the surd by writing $12$ as a product with the largest possible square factor.	$r=\sqrt{12}=\sqrt{4\times3}=\sqrt{4}\times\sqrt{3}=2\sqrt{3}$.	Find the radius of the circle $(x+1)^2+(y-8)^2=12$, giving your answer in exact (surd) form.	$2\sqrt{3}$|$3\sqrt{2}$|$6$|$12$	10
week-02	q4	mc	$(x+4)^2+(y-3)^2=36$		1	Substitute into $(x-a)^2+(y-b)^2=r^2$. Since $a=-4$, the bracket becomes $(x-(-4))=(x+4)$, and remember to square the radius.	With $a=-4$, $b=3$ and $r=6$: $(x-(-4))^2+(y-3)^2=6^2$, that is $(x+4)^2+(y-3)^2=36$.	Find the equation of the circle with centre $(-4,\,3)$ and radius $6$.	$(x+4)^2+(y-3)^2=36$|$(x-4)^2+(y+3)^2=36$|$(x+4)^2+(y-3)^2=6$|$(x-4)^2+(y-3)^2=36$	10
week-02	q5	text	(5,-2)|5,-2		1	The centre of a circle is the midpoint of any diameter.	Centre $=$ midpoint of $AB=\left(\dfrac{3+7}{2},\,\dfrac{0+(-4)}{2}\right)=(5,\,-2)$.	$A$ is the point $(3,\,0)$ and $B$ is the point $(7,\,-4)$. A circle has $AB$ as a diameter. Find the coordinates of its centre. Give your answer in the form (a,b).		10
week-02	q6	numeric	8	0	1	Here $k=r^2$, and the radius is the distance from the centre $(5,-2)$ to either end of the diameter. You do not need the square root - you want $r^2$.	$r^2=(5-3)^2+(-2-0)^2=4+4=8$, so $k=8$. (Equivalently $r=\sqrt{8}=2\sqrt{2}$.)	$A$ is the point $(3,\,0)$ and $B$ is the point $(7,\,-4)$. A circle has $AB$ as a diameter, and its equation is $(x-5)^2+(y+2)^2=k$. Find the value of $k$.		10
week-02	q7	text	(-5,4)|-5,4		1	Complete the square in $x$ and in $y$ separately, then compare with $(x-a)^2+(y-b)^2=r^2$.	$x^2+10x+y^2-8y-40=0\Rightarrow(x+5)^2-25+(y-4)^2-16-40=0\Rightarrow(x+5)^2+(y-4)^2=81$. So the centre is $(-5,\,4)$.	Find the centre of the circle $x^2+y^2+10x-8y-40=0$. Give your answer in the form (a,b).		10
week-02	q8	numeric	9	0	1	Complete the square to reach the form $(x-a)^2+(y-b)^2=r^2$, then take the square root of the right-hand side.	Completing the square gives $(x+5)^2+(y-4)^2=81$, so $r^2=81$ and $r=9$.	Find the radius of the circle $x^2+y^2+10x-8y-40=0$.		10
week-02	q9	text	(3,-2)|3,-2		1	Group the $x$ terms and the $y$ terms, complete the square on each, and move the constants to the right-hand side.	$x^2-6x+y^2+4y-12=0\Rightarrow(x-3)^2-9+(y+2)^2-4-12=0\Rightarrow(x-3)^2+(y+2)^2=25$. The centre is $(3,\,-2)$.	Find the centre of the circle $x^2+y^2-6x+4y-12=0$. Give your answer in the form (a,b).		10
week-02	q10	numeric	5	0	1	After completing the square the equation becomes $(x-3)^2+(y+2)^2=r^2$. Read off $r^2$ and square root it.	$(x-3)^2+(y+2)^2=9+4+12=25$, so $r^2=25$ and $r=5$.	Find the radius of the circle $x^2+y^2-6x+4y-12=0$.		10
week-02	q11	mc	$x^2+y^2=20$		1	With centre $(0,\,0)$ the equation $(x-a)^2+(y-b)^2=r^2$ simplifies a great deal. Remember the right-hand side is $r^2$.	With $a=b=0$ and $r=\sqrt{20}$: $x^2+y^2=(\sqrt{20})^2=20$.	Which of these is the equation of the circle with centre the origin and radius $\sqrt{20}$?	$x^2+y^2=20$|$x^2+y^2=\sqrt{20}$|$x^2+y^2=400$|$(x-20)^2+(y-20)^2=20$	10
week-02	q12	mc	The angle in a semicircle is a right angle		1	Think about the three circle facts in this section: the angle in a semicircle, the perpendicular from the centre to a chord, and the tangent-radius property.	$AC$ is a diameter, so any point $B$ on the circumference gives an angle $ABC$ standing in a semicircle - and the angle in a semicircle is a right angle.	$A(0,\,0)$ and $C(6,\,0)$ are the ends of a diameter of a circle. Which fact tells you immediately that angle $ABC=90^\circ$ for any other point $B$ on the circle?	The angle in a semicircle is a right angle|The perpendicular from the centre to a chord bisects the chord|A tangent is perpendicular to the radius at the point of contact|Opposite angles of a cyclic quadrilateral add to $180^\circ$	10
week-02	q13	text	-3/4		1	The tangent at $P$ is perpendicular to the radius $CP$. Find the gradient of $CP$ first, then take the negative reciprocal.	Gradient of $CP=\dfrac{7-3}{5-2}=\dfrac43$. The tangent is perpendicular to $CP$, so its gradient is $-\dfrac{1}{4/3}=-\dfrac34$.	A circle has centre $C(2,\,3)$ and the point $P(5,\,7)$ lies on the circle. Find the gradient of the tangent to the circle at $P$. Give your answer as a fraction in the form a/b.		10
week-02	q14	numeric	4	0	1	Substitute $x=3y+10$ into the circle equation to get a quadratic in $y$. Solve it, then work back to the matching $x$-values.	$(3y+10)^2+y^2=20\Rightarrow 10y^2+60y+80=0\Rightarrow y^2+6y+8=0\Rightarrow(y+2)(y+4)=0$, so $y=-2$ or $y=-4$. Then $x=4$ or $x=-2$, giving $A(-2,\,-4)$ and $B(4,\,-2)$. The positive $x$-coordinate is $4$.	The line $x=3y+10$ intersects the circle $x^2+y^2=20$ at the points $A$ and $B$. One of them has a positive $x$-coordinate. Find that $x$-coordinate.		10
week-02	q15	text	(1,-3)|1,-3		1	This is just the midpoint of the two given points - average the $x$-coordinates and average the $y$-coordinates.	Midpoint $=\left(\dfrac{-2+4}{2},\,\dfrac{-4+(-2)}{2}\right)=(1,\,-3)$.	The line $x=3y+10$ intersects the circle $x^2+y^2=20$ at $A(-2,\,-4)$ and $B(4,\,-2)$. Find the midpoint of the chord $AB$. Give your answer in the form (a,b).		10
week-02	q16	numeric	-3	0	1	The perpendicular bisector of a chord is perpendicular to it (and passes through the centre of the circle). Find the gradient of $AB$, then take the negative reciprocal.	Gradient of $AB=\dfrac{-2-(-4)}{4-(-2)}=\dfrac{2}{6}=\dfrac13$, so the perpendicular bisector has gradient $-3$.	The chord $AB$ of a circle joins $A(-2,\,-4)$ and $B(4,\,-2)$. Find the gradient of the perpendicular bisector of $AB$.		10
week-02	q17	mc	Once - the line is a tangent to the circle		1	Substitute $y=x-13$ into the circle equation and simplify to a quadratic in $x$. The discriminant $b^2-4ac$ tells you how many intersection points there are.	Substituting gives $x^2+(x-13)^2-8x+6(x-13)+7=0\Rightarrow 2x^2-28x+98=0\Rightarrow x^2-14x+49=0\Rightarrow(x-7)^2=0$. The discriminant is $(-14)^2-4(1)(49)=0$, a repeated root, so the line touches the circle once and is a tangent.	How many times does the line $y=x-13$ meet the circle $x^2+y^2-8x+6y+7=0$?	Once - the line is a tangent to the circle|Twice - the line is a chord of the circle|Not at all - the line misses the circle|Three times	10
week-02	q18	numeric	4	0	1	Substitute $y=x+k$ into the circle equation to get a quadratic in $x$. A tangent touches the circle exactly once, so set the discriminant equal to zero.	$x^2+(x+k)^2=8\Rightarrow 2x^2+2kx+k^2-8=0$. For a tangent, $b^2-4ac=0$: $(2k)^2-4(2)(k^2-8)=0\Rightarrow 4k^2-8k^2+64=0\Rightarrow k^2=16$, so $k=\pm4$ and the positive value is $k=4$.	The line $y=x+k$ is a tangent to the circle $x^2+y^2=8$. Find the positive value of $k$.		10
week-02	q19	numeric	0	0	1	Substitute and reduce to a quadratic in $x$, then evaluate $b^2-4ac$. A negative discriminant means no real solutions.	$x^2+(x+6)^2=9\Rightarrow 2x^2+12x+27=0$. The discriminant is $12^2-4(2)(27)=144-216=-72<0$, so there are no real roots and the line does not meet the circle. The answer is $0$.	How many points of intersection does the line $y=x+6$ have with the circle $x^2+y^2=9$? Give your answer as a number.		10
week-02	q20	numeric	5	0	1	Substitute $y=x-3$ into the circle equation, expand carefully, and reduce to a quadratic in $x$ that factorises.	$(x-3)^2+((x-3)+2)^2=20\Rightarrow(x-3)^2+(x-1)^2=20\Rightarrow 2x^2-8x-10=0\Rightarrow x^2-4x-5=0\Rightarrow(x-5)(x+1)=0$. So $x=5$ or $x=-1$, and the points are $(5,\,2)$ and $(-1,\,-4)$. The larger $x$-coordinate is $5$.	The line $y=x-3$ meets the circle $(x-3)^2+(y+2)^2=20$ at two points. Find the larger of the two $x$-coordinates.		10
